time,decibel
2026-07-28T03:47:35.336,41.4
2026-07-28T03:47:35.739,40.9
2026-07-28T03:47:36.142,41.2
2026-07-28T03:47:36.545,40.9
2026-07-28T03:47:36.948,40.8
2026-07-28T03:47:37.351,41.2
2026-07-28T03:47:37.754,40.3
2026-07-28T03:47:38.157,41.2
2026-07-28T03:47:38.560,41.3
2026-07-28T03:47:38.963,41.1
2026-07-28T03:47:39.366,41.2
2026-07-28T03:47:39.769,40.7
2026-07-28T03:47:40.172,41.3
2026-07-28T03:47:40.575,41.1
2026-07-28T03:47:40.978,40.9
2026-07-28T03:47:41.381,41.2
2026-07-28T03:47:41.784,40.8
2026-07-28T03:47:42.187,41.2
2026-07-28T03:47:42.590,41.1
2026-07-28T03:47:42.993,40.8
2026-07-28T03:47:43.396,41.3
2026-07-28T03:47:43.799,41.1
2026-07-28T03:47:44.202,41.2
2026-07-28T03:47:44.605,41.3
2026-07-28T03:47:45.008,40.8
2026-07-28T03:47:45.411,41.2
